year,month,state,megawatt_hours
2022,2,AK,510260.5
2022,2,AL,6826948.2999999998
2022,2,AR,4005698.5
2022,2,AZ,5229574.3
2022,2,CA,16541601
2022,2,CO,4343201.5999999996
2022,2,CT,2214557.2000000002
2022,2,DC,805119.37
2022,2,DE,993851.98
2022,2,FL,18069369
2022,2,GA,10792840
2022,2,HI,653068.18000000005
2022,2,IA,4445730.4000000004
2022,2,ID,2002181
2022,2,IL,10919440
2022,2,IN,8410155.5
2022,2,KS,3204159.5
2022,2,KY,6453712.5999999996
2022,2,LA,7651403.5999999996
2022,2,MA,4267110.4000000004
2022,2,MD,4931672.7
2022,2,ME,1073457.5
2022,2,MI,7864373.2999999998
2022,2,MN,5459045.4000000004
2022,2,MO,6785084.0999999996
2022,2,MS,3936967.7
2022,2,MT,1390360.1
2022,2,NC,11704067
2022,2,ND,2109679.7999999998
2022,2,NE,2670284
2022,2,NH,909144.56
2022,2,NJ,5471064.2000000002
2022,2,NM,2012552.8
2022,2,NV,2584205.1
2022,2,NY,11551906
2022,2,OH,12156117
2022,2,OK,5195817.3
2022,2,OR,4375055.9000000004
2022,2,PA,12373821
2022,2,RI,570222.63
2022,2,SC,6498535
2022,2,SD,1168520.1000000001
2022,2,TN,9081211.6999999993
2022,2,TX,32486552
2022,2,UT,2406378.4
2022,2,VA,11021884
2022,2,VT,470333.17
2022,2,WA,7908868.5999999996
2022,2,WI,5583015
2022,2,WV,2799292.3
2022,2,WY,1382791.5
2022,1,AK,579642.48
2022,1,AL,7769298.4000000004
2022,1,AR,4189367.6
2022,1,AZ,5862685.5999999996
2022,1,CA,20356989
2022,1,CO,4756822.2
2022,1,CT,2610625.5
2022,1,DC,940338.91
2022,1,DE,1075149
2022,1,FL,18146580
2022,1,GA,12480191
2022,1,HI,727176.24
2022,1,IA,4949185.8
2022,1,ID,2277351.6
2022,1,IL,12371863
2022,1,IN,9004558.0999999996
2022,1,KS,3444919.6
2022,1,KY,7069729.0999999996
2022,1,LA,7994679
2022,1,MA,4437358.8
2022,1,MD,5994730.5999999996
2022,1,ME,1152799.1000000001
2022,1,MI,8844636.4000000004
2022,1,MN,6096483.9000000004
2022,1,MO,7474407.4000000004
2022,1,MS,4086920.6
2022,1,MT,1490329.6000000001
2022,1,NC,13578308
2022,1,ND,2296620.1
2022,1,NE,2864449.3
2022,1,NH,1023401
2022,1,NJ,6325768.0999999996
2022,1,NM,2228202.2000000002
2022,1,NV,2885721
2022,1,NY,12297357
2022,1,OH,13601888
2022,1,OK,5733027.2000000002
2022,1,OR,4950958.4000000004
2022,1,PA,13994033
2022,1,RI,636061.19999999995
2022,1,SC,7333161.7999999998
2022,1,SD,1263545.6000000001
2022,1,TN,8883656.5999999996
2022,1,TX,35159933
2022,1,UT,2680154.6
2022,1,VA,12080405
2022,1,VT,534212.38
2022,1,WA,9059449.6999999993
